id,es,en
W14,Pero es que os he traído las cosas.,But I brought you the stuff.
W15,¿¡A ESTAS ALTURAS!?,AT THIS POINT?!
W16,Perdonad pero lo hemos hecho lo más rápido posible…,Sorry but we did it as quickly as possible...
W17,(Aunque he de decir que acabo de llegar…),(Although I have to say I've only just arrived...)
W18,¡Rápido dame los documentos!,Quickly give me the documents!
W19,*click clack clack click clack*,*click clack clack click clack*
W20,¡No me va a dar tiempo a mí solo!,I won't be able to do it alone!
W21,¡No se preocupe jefe!,Don't worry boss!
W22,"¡Nosotros le daremos un curso rápido de HTML, CSS y JavaScript intensivo, y podremos trabajar los cuatro!","We'll give you a crash course in HTML, CSS and JavaScript, and the four of us can work together!"
W23,...,…
W24,¡Se acabó!,It's over!
W25,¡HEMOS ACABADO EL PROYECTO!,WE'VE FINISHED THE PROJECT!
W26,¡AHHHH! ¡No me lo puedo creer!,AHHHHH! I can't believe it!
W27,"Después de tanto esfuerzo, por fin acabamos el trabajo…","After so much effort, we've finally finished the job..."
W28,¡Por un momento creía que se venía abajo todo!,For a moment I thought it was all going to collapse!
W29,Menos mal que nos has salvado.,Thank goodness you saved us.
W30,¡Me alegra haber sido de ayuda!,I'm glad I could help!
W31,"Además, ¡he aprendido un montón!","Besides, I learned a lot!"
W32,"Bueno, aún no hemos terminado del todo.","Well, we're not quite done yet."
W33,Todavía nos queda ir a la final y que valoren nuestro trabajo.,We still have to go to the final and have our work judged.
W34,¡Por fin nuestros esfuerzos serán recompensados!,Finally our efforts will be rewarded!
W35,¡No hay tiempo!,There's no time!
W36,¡Se me van a borrar las huellas dactilares de teclear tan rápido!,I'm going to wipe my fingerprints off from typing so fast!
W37,¡Solo queda un minuto para que se acabe el plazo!,Only one minute left before the deadline!
W38,¡Vamos a entregar el proyecto finalmente!,Let's finally deliver the project!
W39,¿Estás listo?,Are you ready?
W40,A-ah entiendo…,A-ah I get it...
W41,B-bueno vuelve cuando estés listo…,W-well come back when you're ready...
W42,"Pero tampoco tardes mucho, ¿vale?","But don't take too long either, okay?"
W43,¡Muchas gracias por tu ayuda!,Thank you so much for your help!
W44,"Si no estuvieras ahí, no podríamos haber acabado a tiempo.","If you weren't there, we couldn't have finished on time."
W45,En este grupo nos encargamos de recoger la información sobre todo el proyecto y plasmarla en Internet.,In this group we are in charge of collecting information about the whole project and putting it on the internet.
W46,Específicamente en una “wiki”. Una wiki es una página simple creada con la idea de plasmar cierta información y enlazarla a otras páginas web.,Specifically in a ‘wiki’. A wiki is a simple web page created with the idea of capturing certain information and linking it to other web pages.
W47,"Todo proyecto de biología sintética debe quedar perfectamente explicado en algún lado,","Every synthetic biology project must be perfectly explained somewhere,"
W48,"y en nuestro caso, usamos la wiki, para que sea fácil de entender tanto por el público inexperto como por los más puestos en el tema.","and in our case, we use the wiki, so that it is easy to understand both for the inexperienced public and for those who are more knowledgeable about the subject."
W49,"¡Es fundamental que toda la información relacionada con la biología sintética sea accesible para todo el mundo, y más siendo un campo tan novedoso!","It is essential that all information related to synthetic biology is accessible to everyone, especially in such a new field!"
W50,"Entiendo, así todo el que quiera trabajar en el campo podrá hacerlo con más facilidad…","I understand, so that everyone who wants to work in the field can do it easily..."
W51,"Recuerda, las wikis son muy útiles para plasmar la investigación en biología sintética de forma accesible y sencilla.","Remember, wikis are very useful for making synthetic biology research accessible and easy to use."
W52,¡Lo hemos conseguido!,We did it!
W53,Déjame que te explique lo que vamos a hacer ahora.,Let me explain what we are going to do now.
W54,"Ya tenemos los textos que deben estar en la página web, así que lo único que nos queda por hacer es meterlos.","We already have the texts that need to be on the website, so the only thing left to do is to put them in."
W55,¿Y es eso muy difícil?,And is that very difficult?
W56,"No, solo debes tener conocimientos básicos sobre qué son los “lenguajes de marcado” y de “estilo en cascada”.","No, you just need to have a basic knowledge of what ‘layout languages’ are."
W57,¿Eso tiene algo que ver con HTML?,Does that have anything to do with HTML?
W58,¡Así es!,That's right!
W59,"Estos lenguajes sirven para crear a través de varios elementos gráficos una interfaz fácil de usar,","A layout language is a language used by a programmer to create through various graphical elements a user-friendly interface,"
W60,o simplemente organizarlos de tal forma que sean visualmente agradables.,or simply to arrange them in such a way that they are visually pleasing.
W61,HTML y CSS son dos ejemplos muy conocidos.,HTML and CSS are two well-known examples.
W62,¡Comprendo!,I understand!
W63,¡Ahora que ya sabes qué vamos a hacer (más o menos) tenemos que ayudar al jefe!,Now that you know what we are going to do (more or less) we have to help the boss!
W64,¡Por fin hemos acabado!,We're finally done!
W65,¡BUAAAAAAAA!,WUAAAAAAAA!
W66,¿Estás bien? ¿Por qué lloras?,"Are you okay, why are you crying?"
W67,¡Si por fin hemos acabado!,We're finally done!
W68,¡P-por eso lloroooo!,Th-that's why I'm crying!
W69,¡Lloro de alegría!,I'm crying for joy!
W70,(¿Supongo que entonces no pasa nada?),(I guess it's all right then?)
W71,¡Por fin la gente sabrá más sobre la biología sintética!,Finally people will know more about synthetic biology!
W72,"Espero que este proyecto pueda ayudar a mucha gente, ¡tocará publicarlo en redes!","I hope this project can help a lot of people, I will post it on networks!"
W73,¡Qué alegría que todo haya salido bien!,I'm glad it all worked out!
W74,Ahora solo queda ver qué opinan sobre nuestro trabajo.,Now we just need to see what you think of our work.
W75,¡Muchas gracias por todo!,Thank you very much for everything!
W76,¿Has disfrutado trabajando en un equipo de biología sintética?,Have you enjoyed working on a synthetic biology team?
W77,¡Sí! He aprendido mucho de muchas disciplinas distintas.,"Yes, I have learned a lot from many different disciplines."
W78,¡Me alegro de oírlo!,Glad to hear it!
WLKDL,Bienvenido al juego de Drylab,Welcome to the game of Drylab
IMJDL1,"¡Llegó la hora de obtener las secuencias de ADN necesarias para elaborar las construcciones genéticas y poder desarrollar nuestro proyecto! Para ello, recoge los elementos génicos que caen de la parte superior de la pantalla como te ha dicho Metionino,el jefe de Drylab. Pero recuerda, el orden es muy importante para que las construcciones sean funcionales, así que asegúrate de coger las piezas en el orden correcto.","It's time to gather the DNA sequences necessary for the production of the genetic constructs and the development of our project. For this purpose, gather the genetic elements that fall from the top of the screen.\nBut remember, the order is very important for the constructions to be functional, so make sure to collect the pieces in the correct order."
IMJDL2,"Consigue el mayor número de construcciones genéticas: [color=green]gana[/color] 3 puntos por cada constructo génico completado, [color=green]gana[/color] 1 punto por cada pieza correcta recogida en el momento adecuado, pero [color=red]pierde[/color] 1 puntos si te equivocas de orden. ¡Siempre puedes comprobar tu progreso en la barra de la parte superior de la pantalla!","Collect the most number of genetic constructs: gain 3 points per genetic construct completed, earn I point per piece collected in the correct moment, but lose I point if you make a mistake in the order. You can always check your progress on the bar in the top of the screen!"
IDLPM,1. Promotor,1. Promoter
IDLTERM,4. Terminador,4. Terminator
WLKWL,Bienvenido al juego de Wetlab,Welcome to the game of Wetlab
IMJWL1,"¡Toca ponerse los guantes y empezar a trabajar! Sigue las instrucciones de Dropaula, la Jefa de Wetlab, para desarrollar los protocolos de digestión, ligación y transformación con el objetivo de obtener bacterias transformadas con el ADN que hemos sintetizado.","Let's put on the gloves and begin working! Follow the instructions given by the Wetlab boss, in order to execute the protocols of digestion, ligation and transformation, with the objective of getting bacteria transformed with the DNA that we have synthesized."
IMJWL2,"Pero, ¡cuidado! El tiempo apremia, así que trata de ser eficiente y completar correctamente los protocolos en el menor tiempo posible. ¡Mucha suerte!","But be careful, there is not much time, so try to be efficient and complete the protocols succesfully as fast as you can to win more points."
JWL1,"¡Ya veo que te has colocado frente al banco de trabajo! Vamos a comenzar entonces a hacer una digestión para cortar los fragmentos de ADN. ¿Ves todos esos tubos en la caja de hielo? Pues tienes que colocarlos en la gradilla, para que sea cómodo trabajar. Esos tubos contienen el ADN del plásmido y de los constructos que han diseñado los de Drylab, y también las enzimas de restricción necesarias para digerir este ADN en sitios específicos y el tampón para que funcione todo.","I see you’ve taken a site in front of the workbench! Let’s start by doing a digestion to cut out the DNA fragments. See all those tubes in the ice box? Well, you have to place them on the rack, so that it’s comfortable to work with. Those tubes contain the DNA from the plasmid and the constructs that the Drylab guys have designed, and also the restriction enzymes needed to digest this DNA at specific sites and the buffer to make it all work."
JWL2,"¡Excelente! Ahora, coge la pipeta roja, que sirve para medir microvolúmenes, y mezcla en las proporciones adecuadas cada uno de los reactivos. Tienes que hacer dos tubos para digerir por separado los constructos y el plásmido.","Excellent! Now take the red pipette, which is used to measure microvolumes, and mix the right proportion of each reagent. You need to make two tubes to digest the constructs and the plasmid separately."
JWL3,"Estupendo, veo que lo tienes ya hecho. Para digerir, sin embargo, hay que poner los tubos a 37 grados celsius, por lo que ahora colócalos en el termobloque, que permite alcanzar temperaturas estables. Además, luego vamos a inactivar las enzimas, que si no, ¡pueden seguir actuando!","Great, I see you’ve got it done. However, to digest you have to put the tubes at 37 degrees Celsius, so now put them in the thermoblock, which allows you to reach stable temperatures. Besides, we will then inactivate the enzymes, otherwise they will still be able to work!"
JWL4,"Ya lo has tenido el tiempo que tocaba, por lo que de nuevo hay que poner los tubos en el hielo.","You’ve had it for the right amount of time, so you have to put the tubes back on ice."
JWL5,"Como ves, hay dos tubos nuevos: una enzima ligasa y su tampón. Eso es porque vamos a unir las piezas de ADN digeridas a través de una ligación, para luego poder introducirlo en una bacteria. Pon, por favor, los cuatro tubos en la gradilla.","As you can see, there are two new tubes: an enzyme ligase and its buffer. That’s because we’re going to join the digested pieces of DNA together through ligation, so that we can then introduce it into a bacterium. Please put the four tubes in the rack."
JWL6,"Ahora de nuevo, mezclalo todo como te he enseñado antes, en las proporciones adecuadas.","Now mix everything as I have shown you, in the right proportions."
JWL7,¡Genial! Si esto es todo muy repetitivo… toca otra vez calentarlo para que la enzima pueda funcionar. Pon el tubo en el termobloque.,Great! If this is all too repetitive…it’s time to heat it up again so that the enzyme can work. Put the tube in the thermoblock.
JWL8,"Venga, ¿recuerdas ahora lo que hay que hacer? ¡Efectivamente! Saca el tubo del termobloque, pero esta vez, como lo vamos a usar en unos momentos, no hace falta que lo metas en hielo.","Come on, do you remember what to do? Yes, that 's right! Take the tube out of the thermoblock, but this time, as we’re going to use it in a few moments, you don’t need to put in ice."
JWL9,"Mira mira, qué rápido aprendes. Ya vamos a hacer lo último que toca: la transformación. Con esta, vamos a conseguir meter el ADN ya ligado en la bacteria. Fíjate, la caja de hielo que te tenía preparada tiene dos tubos dentro: uno son las bacterias competentes; es decir, bacterias que pueden tomar este ADN, y el otro es un tubo vacío para trabajar. Usa la pipeta amarilla para mezclar el ADN y las bacterias, y deja la mezcla de nuevo en hielo un ratito.","You learn so fast. Now we’re going to do the last thing we need to do: transformation. With this one, we’re going to get the bound DNA into the bacteria. Notice the ice box I had prepared for you has two tubes inside: one is the competent bacteria, a bacteria that can take up this DNA, and the other is an empty tube. Use the yellow pipette to mix the DNA and the bacteria, and leave the mixture back on ice for a while."
JWL10,"Ahora hay que asustarlas. Vamos a hacer un choque térmico para que así capten del medio el ADN y se transformen. Para eso, colócalas en el termobloque a 42 grados centígrados unos segundos.","Now we have to scare them. We’re going to give them a thermal shock so that they pick up the DNA from the environment and transform. To do this, place them in a thermoblock at 42 degrees Celsius for a few seconds."
JWL11,¡Rápido! Ahora vuelvelas a meter en hielo unos minutos más.,Quickly! Now put them back on ice for a few more minutes.
JWL12,"De mientras, puedes aprovechar para encender el mechero, porque vamos a trabajar en esterilidad. Esto es muy importante porque no queremos que se nos contamine la muestra.","Meanwhile, you can take the opportunity to turn on the lighter, because we are going to work in sterility. This is very important because we do not want to contaminate the sample."
JWL13,"Ahora, tienes que echarle 2YT, un medio rico para que las bacterias crezcan. Para ello, coge el medio del tarro esteril que lo contiene.","Now, you have to pour in 2YT, a rich medium for bacteria to grow. To do this, take the medium from the sterile jar."
JWL14,"Perfecto, ya lo tienes todo mezclado, pero ¡que no se te olvide apagar el mechero!","Perfect, you’ve got it all mixed up, but don’t forget to turn off the lighter!"
JWL15,"Bien, bien. Llegó el momento más tedioso de todos: esperar. Mete el tubo en el termobloque a 37 grados centígrados un buen rato y de mientras, aprovecha para hacer otras tareas, ¡que no hay tiempo que perder!","Good. The most tedious moment of all has arrived: waiting. Put the tube in the thermoblock at 37 degrees Celsius for a while. Meanwhile, take the opportunity to do other tasks, there is no time to waste!"
JWL16,"Ya ha pasado el tiempo, espero que lo hayas aprovechado para aprender, por ejemplo, cómo funcionan el resto de máquinas… porque ahora toca usar la centrífuga de sobremesa. Esta permite centrifugar pequeños tubos de forma cómoda, y poder así concentrar, por ejemplo, las bacterias, ya que las sedimenta sin matarlas.","The time has passed, I hope you have used it to learn, for example, how the other machines work… because now it’s time to use the benchtop centrifuge. This allows you to centrifuge small tubes comfortably, and thus concentrate bacteria, for example, as it sediments them without killing them."
JWL17,"Ahora cierra la tapadera y ponla a trabajar, ¡que si no pueden salir volando los tubos, y es peligroso!","Close the lid and power on, otherwise the tubes may fly out and that's dangerous!"
JWL18,"Ya ha terminado de centrifugar, así que ábrela con cuidado.","It has finished spinning, so pen it carefully."
JWL19,"¡Genial! Acércate el tubo, que te va a tocar sacar el exceso de sobrenadante, que es el líquido que hay dentro.","Great! Bring the tube closer, you’re going to have to remove the excess supernatant, which is the liquid inside."
JWL20,"¿Lo ves? Hay una mancha marrón en el fondo del tubo. Eso son las bacterias sedimentadas. Pues ahora quita volumen hasta que solo queden 100 microlitros, usando la pipeta azul.","Can you see it? There is a brown stain at the bottom of the tube. That 's the settled bacteria. Now remove the volume until there are only 100 microlitres left, using the blue pipette."
JWL21,"Ahora agita bien el tubo para que las bacterias se vuelvan a resuspender, hasta que sea todo de un color homogéneo.","Shake the tube well so that the bacteria resuspend again, until everything is homogeneous in color."
JWL22,"Como puedes observar, hay una especie de plato pequeño con gelatina en la esquina inferior derecha de la mesa. Eso es una placa petri, que sirve para cultivar bacterias, seleccionarlas, y que estas puedan crecer. Pues ahora tienes que echar las bacterias que has resuspendido ahí, pero vuelve a encender el mechero, que otra vez vamos a trabajar en esterilidad.","As you can see, there is a kind of small plate with gelatine in the bottom right corner of the table. that 's a petri dish, which is used to grow bacteria, select them and leave them grow. So now you have to put the bacteria that you have resuspended in there, but turn the lighter back on, because we are going to work in sterility again."
JWL23,"Venga, ahora sí, echa las bacterias sobre la placa con mucho cuidado para que no se nos contamine, que con el poco tiempo que queda, ¡sería un desastre!","Come on, pour the bacteria onto the plate very carefully so that it doesn’t get contaminated, because with so little time left, it would be a disaster!"
JWL24,"Hay que repartir muy bien las bacterias a lo largo de toda la superficie de la placa, hay que usar algo para hacer esto. Lo que solemos utilizar son unas bolitas de vidrio limpias y estériles, que se colocan sobre la placa y se agitan bien para que se repartan.","You have to spread the bacteria very well over the entire surface of the plate, you have to use something to do this. What we usually use are clean, sterile glass beads, which are placed on the plate and shaken well to spread them out."
JWL25,"¡Muy bien! Después de usarlas he visto que las has metido en el bote de bolitas de vidrio sucias, ¡perfecto! Pues hala, solo queda apagar el mechero y meter la placa a 37 grados centígrados en la estufa para que crezcan.","Very good! After using them, I saw that you put them in the dirty glass bead jar, perfect! All that 's left is to turn off the lighter and put the plate on the cooker at 37 degrees Celsius so that they can grow."
JWL26,¡¡Muchas gracias por la ayuda!!,Thank you very much for your help!
WLKH,Bienvenido al juego de Human,Wellcome to the game of Human
IMJH1,"¡Qué bien te ha salido la exposición! El jefe de Human Practices te ha avisado de que preguntan mucho, pero tú debes estar a la altura del reto, así que debes resolver correctamente todas sus preguntas.","Great job with the presentation! The Human Practices boss has warned you that they ask a lot, but you have to be up to the challenge and solve all of their doubts."
IMJH2,"Atiende cada una de las preguntas y gana puntos si respondes correctamente. Pero ten cuidado, evita equivocarte más de 3 veces.","Pay attention to each of the questions and win points if you answer correctly. But be careful, avoid making more than 3 mistakes!"
WLKR,Bienvenido al juego de Redes,Wellcome to the game of Redes
IMJR1,"¡Que se note que sabes de divulgación científica! La compañera de Redes Sociales, te ha pedido que completes una publicación que tiene que subir ahora, pero le falla un poco el ordenador y las publicaciones aparecen y se desordenan. Para completarlas, vas a tener que tirar de memoria y recordar dónde estaban colocadas cada una de las partes de la publicación.",Let shine that you know about scientific dissemination! The colleague from Social Media asked I you to finish a post because their computer is malfunctioning and the posts appear and get all messed up.
IMJR2,Para completarla vas a tener que tirar de memoria y recordad dónde estaban colocadas cada una de las partes de la publicación.,"To complete the publication, use your memory to remember the position of each of the parts of the post."
IMJR3,"Presta mucha atención y sé lo más preciso posible. Cuanto más cerca estés de colocar cada elemento de su posición original, ¡más puntos te llevarás y más alcance tendrá tu post! ¡Ánimo!",Pay attention and be as precise as possible. You will get the most points and impact from your publication the closer you put the elements in their original position.
JR1,Memoriza,Memorize
JR2,Reconstruye,Rebuild
JR3,Resultados,Results
JRP1,"¡Tengo una duda! Antes, hablando de la difusión del proyecto has nombrado una palabra desconocida para mí, que hacía referencia a las personas y empresas a las que les interesa nuestro proyecto. ¿Cuál era?","I have a doubt! Earlier, talking about the dissemination of the project, you mentioned a word unknown to me, which referred to the people and companies that are interested in our project. What was it?"
JRP1R1,Stakeholder,Stakeholder
JRP1R2,Instituciones,Institutions
JRP1R3,Shareholder,Shareholder
JRP1R4,Steakholder,Steakholder
JRP2,Como miembro activo del área de human practices me encargo de que el conocimiento sea algo ____ para las personas sin importar sus circunstancias sociales o personales.,As an active member of the area of Human Practices I make sure that knowledge is something ____ for people regardless of their social or personal circumstances.
JRP2R1,Accesible,Accessible
JRP2R2,Inaccesible,Inaccessible
JRP2R3,Incomprensible,Incomprehensible
JRP2R4,Ininteligible,Unintelligible
JRP3,"Según he entendido en human obtenéis feedback de numerosos sectores, ¿se suele implementar la nueva información a las demás áreas para establecer cambios?","As I understand it, in Human Practices you get feedback from many sectors, is the new information usually implemented to other areas in order to establish changes?"
JRP3R1,Sí,Yes
JRP3R2,No,No
JRP3R3,A veces,Sometimes
JRP3R4,No sé,"No, I don’t know"
JRP4,La multidisciplinariedad del equipo está haciendo que desarrolle unas competencias extraordinarias. Ahora formo parte del equipo de drylab y como tal me encargo de ____ construcciones genéticas.,The multidisciplinary nature of the team is making it possible for me to develop extraordinary skills. I am now part of the Drylab team and as such I am in charge of ____ genetic constructs.
JRP4R1,Diseñar,Designing
JRP4R2,Destruir,Destroy
JRP4R3,Cortar,Cutting
JRP4R4,Cocinar,Cooking
JRP5,No era consciente de la cantidad de problemas que pueden remediarse aplicando la biología sintética. Me alegra poder aprender las herramientas moleculares necesarias para poder darle una ____ a todos estos desastres.,I was not aware of how many problems can be remedied by applying synthetic biology. I am happy to learn the molecular tools needed to be able to give a ____ to all these disasters.
JRP5R1,Solución,Solution
JRP5R2,Empujón,Push
JRP5R3,Crecimiento,Growth
JRP5R4,Respuesta,Answer
JRP6,¡Qué interesante! No sabía que podíais predecir el funcionamiento de los organismos con los que trabajáis en el laboratorio gracias a la elaboración de estudios ____,How interesting! I didn't know that you could predict the functioning of the organisms you work with in the lab by conducting ____ studies.
JRP6R1,Matemáticos,Mathematic
JRP6R2,Literarios,Literary
JRP6R3,De abogacía,Advocacy
JRP6R4,Electrónicos,Electronic
JRP7,"¡Dios mío, realmente es como hacer un puzle! Tengo que cortar las piezas usando las enzimas de ____  correctas o sino la digestión no saldrá bien.","My God, it really is like doing a puzzle! I have to cut the pieces using the right ____ enzymes or else the digestion won’t go well!"
JRP7R1,Restricción,Restriction
JRP7R2,Unión,Union
JRP7R3,Adhesión,Adhesion
JRP7R4,Deshidratación,Dehydration
JRP8,"Rápido rápido, los fragmentos de DNA ya están cortados y  debemos pegarlos unos a otros. Pongámonos manos a la obra con la ____","Quickly and quickly, the DNA fragments are already cut and we need to glue them together. Let's get to work with ____."
JRP8R1,Ligación,Ligation
JRP8R2,Transformación,Transformation
JRP8R3,Actuación,Acting
JRP8R4,Pegación,Gluing
JRP9,"Todo esto está muy bien chicos, ya tenemos el plásmido que queremos pero ¿qué proceso poseen las bacterias para incorporar un nuevo plásmido?","That's all well, guys. We already have the plasmid we want, but what process do bacteria go through to incorporate a new plasmid?"
JRP9R1,Transformación,Transformation
JRP9R2,Metionización,Methionisation
JRP9R3,Robotización,Robotisation
JRP9R4,Escapización,Escaping
JRP10,Las enzimas de restricción que tenían nombre de robot de película espacial ¿cómo se llamaba?,"The restriction enzymes had the name of a robot from a space film, what were they called?"
JRP10R1,EcoRI,EcoRI
JRP10R2,EcoRi,EcoRi
JRP10R3,EctoRI,EctoRI
JRP10R4,EctoRi,EctoRi
WLKW,Bienvenido al juego de Wiki,Wellcome to the game of Wiki
IMJW1,"Ahora que todo está listo, ¡hay que plasmar el trabajo en la Wiki! Asegúrate de que quede ordenado y bien presentado. Haz clic para ajustar el texto y las imágenes con un formato adecuado y que quede una página web preciosa.","Now that everything is done, it's time to illustrate all of our work in the Wiki! Make sure that it is organised and well presented. In order to achieve this, click to adjust the text and images to an adequate format, so that the web is perfect."
IMJW2,"El reloj no para de girar, así que sé lo más rápido posible para obtener la mayor cantidad de puntos! Pero no te equivoques o quedará un churro.","There is no much time, so be as quick as you can to get as many points as possible. Don't make a mistake or it will be a mess!"
CRED,Créditos,Credits
CR_DIR,Dirección,Direction
CR_PR,Producción,Production
CR_DJ,Diseño del juego,Game Design
CR_PG,Programación,Programmers
CR_DP,Director de Programación,Programming Director
CR_DA,Diseño de Arte,Art Designer
CR_GU,Guionistas,Script Writers
CR_DirA,Director de Arte,Art Director
CR_DS,Director de Sonido,Sound Director
CR_RW,Recursos Web,Web Resources
CR_AG,Agradecimientos,Greetings
CR_TS,Testers de la comunidad,Comunnity Testers
CR_QA,QA: iGEM UMA Team,QA: iGEM UMA Team
ESQ1,>ES:ESP1,>ES:ENG1
ESQ2,>ES:ESP2,>ES:ENG2
ESQ3,>ES:ESP3,>ES:ENG3
PREP1,¿En qué curso estás?,What grade are you on?
PREP1R1,3º de la ESO,3rd of ESO
PREP1R2,4º de la ESO,4th of ESO
PREP1R3,1º de Bachillerato,1st of Bachillerato
PREP1R4,2º de Bachillerato,2nd of Bachillerato
PREP2,¿Estás en el itinerario de ciencias?,Are you in the science itinerary?
PREP2R1,Sí,Yes
PREP2R2,No,No
PREP3,¿Sabes qué es la biología sintética?,Do you know what synthetic biology is?
PREP3R1,Sí,Yes
PREP3R2,No,No
PREP4,Marca a qué se dedica cada área,Select what purpose does each area serve
PREP4R1,Experimentos de laboratorio que nos sirven para comprobar que las construcciones genéticas,Laboratory experiments to test the genetic constructions
PREP4R2,Difundir el trabajo que hacemos en el equipo y divulgar sobre muchos tópicos científicos de interés,To spread awareness about our team's work and to divulge about many interesting cientific topics
PREP4R3,Diseño de construcciones genéticas,Genetic construction design
PREP4R4,Recoger la información sobre todo el proyecto y plasmarla en Internet,To collect information about our project and present it in the Internet
PREP4R5,"Conocer cómo el problema que tratamos afecta a las personas, animándolas a que nos aporten ideas","To understand how to problem we are working with affects the people, cheering them to lend us ideas"
PREP4R6,Dry Lab,Dry Lab
PREP4R7,Wet Lab, Wet Lab
PREP4R8,Human Practices,Human Practices
PREP4R9,Redes Sociales,Social Media
PREP4R10,Wiki,Wiki
PREP5,Las regiones del ADN que contienen la información para la producción de proteínas se llaman:,The regions in the DNA which contain the information for the protein production are called:
PREP5R1,Secuencias codificantes (CDS),Coding sequences (CDS)
PREP5R2,Promotores,Promoters
PREP5R3,Terminadores,Terminators
PREP5R4,Sitio de unión al ribosoma (RBS),Ribosome binding site (RBS)
PREP6,¿Sabes lo que son las enzimas de restricción?,Do you know what restriction enzymes are?
PREP6R1,Sí,Yes
PREP6R2,No,No
PREP7,¿Sabes lo que es el quorum sensing?,Do you know what quorum sensing is?
PREP7R1,Sí,Yes
PREP7R2,No,No
PREP8,Ordena los procesos según el orden en el que se deben realizar,Arrange the processes depending on the order in which they should be done
PREP8R1,Transformación,Transformation
PREP8R2,Digestión,Digestion
PREP8R3,Ligación,Ligation
PREP9,¿Hay algo que quieras añadir?,Is there something you may want to add?